what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1422490851513
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1422490851514
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1422490851514
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1422490851514
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1422490851515
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1422490851515
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1422490851515
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1422490851516
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1422490851516
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1422490851516
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1422490851517
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1422490851517
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1422490851519
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1422490851520
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1422490851520
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1422490851521
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1422490851521
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1422490851521
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1422490851521
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1422490851521
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1422490851523
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1422490851524
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1422490851526
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1422490851526
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1422490851527
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1422490851527
os,sysinfo,,,"macosx",1422490851530
arch,sysinfo,,,"x86_64",1422490851530
ws,sysinfo,,,"cocoa",1422490851530
locale,sysinfo,,,"en_US",1422490851530
processors,sysinfo,,,"4",1422490851530
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1422490851530
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1422490851530
java.specification.name,sysinfo,,,"Java Platform API Specification",1422490851530
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1422490851530
java.specification.version,sysinfo,,,"1.6",1422490851530
java.vendor,sysinfo,,,"Apple Inc.",1422490851530
java.version,sysinfo,,,"1.6.0_65",1422490851530
java.vm.info,sysinfo,,,"mixed mode",1422490851530
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1422490851530
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1422490851530
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1422490851530
java.vm.specification.version,sysinfo,,,"1.0",1422490851530
java.vm.vendor,sysinfo,,,"Apple Inc.",1422490851530
java.vm.version,sysinfo,,,"20.65-b04-462",1422490851530
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1422490855163
started,bundle,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui",1422490855170
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20100503,"org.eclipse.equinox.http.jetty",1422490855265
started,bundle,org.eclipse.equinox.http.servlet,1.1.0.v20100503,"org.eclipse.equinox.http.servlet",1422490855319
